MICROX 8 v1.1 (© 10/99 by PreSens)	10/24/2000	1:41:51 PM						
6:20:45 AM 2:39:13 PM	36.72	2108	0	63.5	36.11	2365	0	60.6
6:24:46 AM 2:39:15 PM	36.74	2106	0	63.2	36.19	2365	0	59.8
6:28:47 AM 2:39:17 PM	36.55	2103	0	65.3	36.24	2377	0	59.3
6:32:48 AM 2:39:19 PM	36.69	2109	0	63.8	36.35	2375	0	58.1
6:36:49 AM 2:39:21 PM	36.71	2109	0	63.6	36.32	2379	0	58.5
6:40:50 AM 2:39:23 PM	36.61	2105	0	64.7	36.1	2380	0	60.6
6:44:51 AM 2:39:25 PM	36.78	2103	0	62.8	36.25	2378	0	59.1
6:48:52 AM 2:39:27 PM	36.77	2107	0	62.9	36.22	2377	0	59.4
6:52:53 AM 2:39:29 PM	36.67	2111	0	64	36.26	2375	0	59
6:56:54 AM 2:39:31 PM	36.77	2108	0	62.9	36.34	2378	0	58.2
7:00:54 AM 2:39:33 PM	36.75	2111	0	63.1	36.39	2377	0	57.8
7:04:56 AM 2:39:35 PM	36.94	2112	0	61.1	36.32	2378	0	58.4
7:08:56 AM 2:39:37 PM	36.83	2115	0	62.4	36.24	2379	0	59.2
7:12:57 AM 2:39:39 PM	36.66	2113	0	64.1	36.33	2379	0	58.3
7:16:58 AM 2:39:41 PM	36.73	2115	0	63.4	36.24	2379	0	59.3
7:20:59 AM 2:39:43 PM	36.84	2110	0	62.2	36.4	2377	0	57.7
7:25:00 AM 2:39:45 PM	36.8	2112	0	62.6	36.31	2373	0	58.6
7:29:01 AM 2:39:47 PM	36.95	2116	0	61	36.45	2378	0	57.1
7:33:02 AM 2:39:49 PM	36.82	2113	0	62.4	36.38	2387	0	57.9
7:37:03 AM 2:39:51 PM	36.84	2115	0	62.2	36.4	2386	0	57.6
7:41:04 AM 2:39:53 PM	36.74	2118	0	63.3	36.57	2389	0	55.9
7:45:05 AM 2:39:55 PM	36.78	2120	0	62.8	36.61	2391	0	55.5
7:49:06 AM 2:39:57 PM	37	2122	0	60.6	36.66	2396	0	55
7:53:07 AM 2:39:59 PM	37.01	2123	0	60.4	36.42	2402	0	57.4
7:57:08 AM 2:40:01 PM	36.89	2127	0	61.7	36.52	2407	0	56.4
8:01:09 AM 2:40:03 PM	36.86	2130	0	62	36.42	2400	0	57.4
8:05:09 AM 2:40:05 PM	36.83	2135	0	62.3	36.64	2404	0	55.2
8:09:11 AM 2:40:07 PM	36.9	2134	0	61.6	36.51	2410	0	56.5
8:13:11 AM 2:40:09 PM	36.92	2139	0	61.3	36.63	2416	0	55.3
8:17:12 AM 2:40:11 PM	36.97	2143	0	60.8	36.45	2411	0	57.1
8:21:13 AM 2:40:13 PM	36.94	2139	0	61.1	36.53	2413	0	56.3
8:25:14 AM 2:40:15 PM	36.95	2145	0	61	36.71	2423	0	54.5
8:29:15 AM 2:40:17 PM	36.91	2146	0	61.4	36.6	2425	0	55.6
8:33:16 AM 2:40:19 PM	36.99	2150	0	60.7	36.71	2432	0	54.4
8:37:17 AM 2:40:21 PM	37.01	2154	0	60.4	36.66	2432	0	55
8:41:18 AM 2:40:23 PM	37.01	2158	0	60.5	36.46	2436	0	57
8:45:19 AM 2:40:25 PM	37.23	2161	0	58.2	36.66	2436	0	55
8:49:20 AM 2:40:27 PM	37.09	2158	0	59.6	36.72	2433	0	54.4
8:53:21 AM 2:40:29 PM	37.13	2159	0	59.1	36.74	2438	0	54.2
8:57:22 AM 2:40:31 PM	37.2	2162	0	58.5	36.7	2435	0	54.6
9:01:23 AM 2:40:33 PM	37.21	2161	0	58.4	36.62	2434	0	55.4
9:05:24 AM 2:40:35 PM	37.07	2163	0	59.8	36.7	2438	0	54.6
9:09:24 AM 2:40:37 PM	37.12	2159	0	59.3	36.63	2436	0	55.3
9:13:26 AM 2:40:39 PM	37.28	2161	0	57.6	36.74	2433	0	54.2
9:17:26 AM 2:40:41 PM	37.22	2159	0	58.2	36.72	2442	0	54.4
9:21:27 AM 2:40:43 PM	37.21	2159	0	58.4	36.78	2436	0	53.8
9:25:28 AM 2:40:45 PM	37.09	2162	0	59.6	36.79	2438	0	53.7
9:29:29 AM 2:40:47 PM	37.19	2163	0	58.6	36.84	2437	0	53.2
9:33:30 AM 2:40:49 PM	37.18	2162	1	58.7	36.9	2448	0	52.6
9:37:31 AM 2:40:51 PM	37.14	2164	1	59.1	36.83	2441	0	53.3
9:41:32 AM 2:40:53 PM	37.19	2164	0	58.5	36.86	2445	0	53
9:45:33 AM 2:40:55 PM	37.31	2163	0	57.3	36.81	2444	0	53.5
9:49:34 AM 2:40:57 PM	37.26	2162	0	57.8	36.73	2437	0	54.3
9:53:35 AM 2:40:59 PM	37.33	2169	0	57.1	36.9	2447	0	52.7
9:57:36 AM 2:41:01 PM	37.23	2167	0	58.1	36.91	2450	0	52.5
10:01:37 AM 2:41:03 PM	37.46	2170	0	55.8	36.88	2449	0	52.8
10:05:38 AM 2:41:05 PM	37.38	2172	0	56.6	37.09	2450	0	50.7
10:09:39 AM 2:41:07 PM	37.4	2177	0	56.4	37.07	2455	0	50.9
10:13:39 AM 2:41:09 PM	37.43	2174	0	56.1	36.93	2460	0	52.3
10:17:41 AM 2:41:11 PM	37.37	2175	0	56.7	37.19	2462	0	49.8
10:21:41 AM 2:41:13 PM	37.42	2173	0	56.2	37.17	2458	0	50
10:25:42 AM 2:41:15 PM	37.35	2166	0	56.9	37.14	2449	0	50.3
10:29:43 AM 2:41:17 PM	37.44	2171	0	56	36.98	2448	0	51.8
10:33:44 AM 2:41:19 PM	37.28	2169	0	57.6	37.17	2450	0	50
10:37:45 AM 2:41:21 PM	37.35	2170	0	57	37.14	2447	0	50.3
10:41:46 AM 2:41:23 PM	37.41	2176	0	56.3	37.12	2454	0	50.5
10:45:47 AM 2:41:25 PM	37.4	2170	0	56.4	37.18	2452	0	49.8
10:49:48 AM 2:41:27 PM	37.41	2172	0	56.3	37.27	2459	0	49
10:53:49 AM 2:41:29 PM	37.44	2171	0	56	37.34	2459	0	48.4
10:57:50 AM 2:41:31 PM	37.45	2178	0	55.9	37.3	2458	0	48.7
11:01:51 AM 2:41:33 PM	37.46	2174	0	55.8	37.2	2457	0	49.7
11:05:52 AM 2:41:35 PM	37.38	2174	0	56.6	37.15	2466	0	50.2
11:09:53 AM 2:41:37 PM	37.46	2180	0	55.8	37.22	2461	0	49.5
11:13:54 AM 2:41:39 PM	37.48	2181	0	55.6	37.26	2465	0	49.1
11:17:54 AM 2:41:41 PM	37.45	2181	0	55.9	37.19	2465	0	49.7
11:21:56 AM 2:41:43 PM	37.63	2185	0	54	37.37	2469	0	48.1
11:25:56 AM 2:41:45 PM	37.56	2185	0	54.8	37.33	2465	0	48.4
11:29:57 AM 2:41:47 PM	37.57	2184	0	54.7	37.15	2468	0	50.1
11:33:58 AM 2:41:49 PM	37.59	2181	0	54.4	37.42	2469	0	47.6
11:38:00 AM 2:41:51 PM	37.56	2189	0	54.8	37.57	2467	0	46.1
11:42:00 AM 2:41:53 PM	37.67	2191	0	53.6	37.35	2476	0	48.2
11:46:01 AM 2:41:55 PM	37.64	2190	0	54	37.49	2477	0	46.9
11:50:02 AM 2:41:57 PM	37.67	2190	0	53.7	37.41	2479	0	47.6
11:54:03 AM 2:41:59 PM	37.69	2192	0	53.5	37.55	2474	0	46.4
11:58:04 AM 2:42:01 PM	37.61	2195	0	54.2	37.57	2474	0	46.2
12:02:05 PM 2:42:03 PM	37.69	2199	0	53.5	37.48	2480	0	47
12:06:06 PM 2:42:05 PM	37.72	2190	0	53.1	37.47	2482	0	47.1
12:10:07 PM 2:42:07 PM	37.75	2192	0	52.9	37.4	2476	0	47.7
12:14:08 PM 2:42:09 PM	37.7	2189	0	53.4	37.34	2476	0	48.3
12:18:09 PM 2:42:11 PM	37.96	2195	0	50.8	37.46	2477	0	47.2
12:22:10 PM 2:42:13 PM	37.86	2193	0	51.8	37.66	2476	0	45.3
12:26:11 PM 2:42:15 PM	37.75	2189	0	52.9	37.54	2475	0	46.4
12:30:12 PM 2:42:17 PM	37.65	2196	0	53.9	37.46	2480	0	47.2
12:34:12 PM 2:42:19 PM	37.88	2192	0	51.6	37.58	2476	0	46.1
12:38:13 PM 2:42:21 PM	37.72	2190	0	53.2	37.64	2477	0	45.5
12:42:14 PM 2:42:23 PM	37.93	2191	0	51.1	37.59	2477	0	46
12:46:15 PM 2:42:25 PM	37.7	2187	0	53.4	37.56	2479	0	46.2
12:50:16 PM 2:42:27 PM	37.91	2190	0	51.3	37.63	2479	0	45.6
12:54:17 PM 2:42:29 PM	37.81	2189	0	52.3	37.69	2483	0	45
12:58:18 PM 2:42:31 PM	37.93	2192	0	51.1	37.67	2474	0	45.2
1:02:19 PM 2:42:33 PM	37.81	2196	0	52.3	37.75	2481	0	44.5
1:06:20 PM 2:42:35 PM	37.9	2195	0	51.4	37.86	2483	0	43.4
1:10:21 PM 2:42:37 PM	37.99	2193	0	50.5	37.78	2489	0	44.2
1:14:22 PM 2:42:39 PM	37.92	2193	0	51.3	37.83	2484	0	43.8
1:18:23 PM 2:42:41 PM	37.88	2194	0	51.6	37.59	2481	0	46
1:22:24 PM 2:42:43 PM	37.95	2194	0	51	37.77	2481	0	44.2
1:26:25 PM 2:42:45 PM	38.11	2193	0	49.4	37.88	2478	0	43.3
1:30:26 PM 2:42:47 PM	38.07	2192	0	49.7	37.85	2476	0	43.6
1:34:27 PM 2:42:49 PM	37.97	2199	0	50.7	37.86	2479	0	43.4
1:38:27 PM 2:42:51 PM	38.19	2197	0	48.6	37.92	2480	0	42.8
1:42:28 PM 2:42:53 PM	38.02	2197	0	50.3	38.06	2481	0	41.6
1:46:30 PM 2:42:55 PM	38.03	2196	0	50.1	37.83	2485	0	43.8
1:50:30 PM 2:42:57 PM	38.16	2195	0	48.9	37.87	2480	0	43.3
1:54:31 PM 2:42:59 PM	38.13	2197	0	49.2	37.96	2484	0	42.5
1:58:32 PM 2:43:01 PM	38.09	2200	0	49.5	37.88	2488	0	43.2
2:02:33 PM 2:43:03 PM	38.07	2200	0	49.8	38.1	2483	0	41.2
2:06:34 PM 2:43:05 PM	38.01	2198	0	50.3	38.04	2481	0	41.8
2:10:35 PM 2:43:07 PM	38.25	2197	0	48	38.21	2489	0	40.2
2:14:36 PM 2:43:09 PM	38.19	2196	0	48.6	37.88	2492	0	43.2
2:18:37 PM 2:43:11 PM	38.24	2205	0	48.1	38.03	2483	0	41.9
2:22:38 PM 2:43:13 PM	38.16	2194	0	48.8	38.18	2486	0	40.5
2:26:39 PM 2:43:15 PM	38.15	2195	0	49	38.02	2488	0	41.9
2:30:40 PM 2:43:17 PM	38.25	2198	0	48	38.07	2486	0	41.5
2:34:41 PM 2:43:19 PM	38.22	2196	0	48.3	38.17	2489	0	40.6
2:38:42 PM 2:43:21 PM	38.12	2198	0	49.3	38.04	2488	0	41.7
2:42:42 PM 2:43:23 PM	38.22	2196	0	48.3	38.09	2487	0	41.3
2:46:43 PM 2:43:25 PM	38.34	2201	0	47.1	38.14	2490	0	40.8
2:50:45 PM 2:43:27 PM	38.4	2207	0	46.6	38.19	2486	0	40.4
2:54:45 PM 2:43:29 PM	38.24	2199	0	48.1	38.21	2490	0	40.3
2:58:46 PM 2:43:31 PM	38.4	2200	0	46.6	38.29	2483	0	39.5
3:02:47 PM 2:43:33 PM	38.44	2203	0	46.2	38.2	2489	0	40.4
3:06:48 PM 2:43:35 PM	38.31	2203	0	47.5	38.28	2487	0	39.5
3:10:49 PM 2:43:37 PM	38.35	2201	0	47.1	38.17	2487	0	40.6
3:14:50 PM 2:43:39 PM	38.34	2200	0	47.2	38.27	2483	0	39.7
3:18:51 PM 2:43:41 PM	38.41	2201	0	46.5	38.39	2490	0	38.6
3:22:52 PM 2:43:43 PM	38.43	2207	0	46.3	38.07	2482	0	41.5
3:26:53 PM 2:43:45 PM	38.43	2200	0	46.3	38.16	2490	0	40.7
3:30:54 PM 2:43:47 PM	38.57	2204	0	45	38.25	2489	0	39.9
3:34:55 PM 2:43:49 PM	38.54	2203	0	45.2	38.25	2490	0	39.9
3:38:56 PM 2:43:51 PM	38.46	2204	0	46	38.42	2488	0	38.4
3:42:57 PM 2:43:53 PM	38.57	2208	0	45	38.28	2495	0	39.6
3:46:57 PM 2:43:55 PM	38.31	2203	0	47.4	38.54	2492	0	37.3
3:50:58 PM 2:43:57 PM	38.45	2205	0	46.1	38.3	2493	0	39.4
3:55:00 PM 2:43:59 PM	38.59	2203	0	44.7	38.42	2487	0	38.3
3:59:00 PM 2:44:01 PM	38.37	2202	0	46.8	38.37	2491	0	38.8
4:03:01 PM 2:44:03 PM	38.55	2206	0	45.1	38.39	2488	0	38.6
4:07:02 PM 2:44:05 PM	38.54	2204	0	45.2	38.4	2491	0	38.5
4:11:03 PM 2:44:07 PM	38.54	2206	0	45.2	38.31	2493	0	39.3
4:15:04 PM 2:44:09 PM	38.64	2208	0	44.3	38.55	2492	0	37.2
4:19:05 PM 2:44:11 PM	38.59	2206	0	44.7	38.55	2494	0	37.2
4:23:06 PM 2:44:13 PM	38.56	2210	0	45	38.54	2491	0	37.3
4:27:07 PM 2:44:15 PM	38.63	2207	0	44.3	38.59	2499	0	36.8
4:31:08 PM 2:44:17 PM	38.72	2207	0	43.6	38.59	2498	0	36.8
4:35:09 PM 2:44:19 PM	38.63	2212	0	44.4	38.59	2499	0	36.8
4:39:10 PM 2:44:21 PM	38.88	2211	0	42.1	38.52	2497	0	37.4
4:43:11 PM 2:44:23 PM	38.72	2214	0	43.6	38.54	2500	0	37.2
4:47:12 PM 2:44:25 PM	38.72	2213	0	43.6	38.48	2495	0	37.8
4:51:13 PM 2:44:27 PM	38.82	2206	0	42.6	38.59	2496	0	36.8
4:55:13 PM 2:44:29 PM	38.85	2208	0	42.3	38.51	2491	0	37.5
4:59:15 PM 2:44:31 PM	38.71	2209	0	43.6	38.67	2499	0	36.1
5:03:15 PM 2:44:33 PM	38.93	2207	0	41.5	38.65	2490	0	36.2
5:07:16 PM 2:44:35 PM	38.71	2209	0	43.6	38.69	2496	0	35.9
5:11:17 PM 2:44:37 PM	38.92	2211	0	41.6	38.79	2495	0	35
5:15:18 PM 2:44:39 PM	38.89	2210	0	41.9	38.67	2503	0	36.1
5:19:19 PM 2:44:41 PM	38.71	2211	0	43.6	38.83	2499	0	34.7
5:23:20 PM 2:44:43 PM	38.79	2207	0	42.9	38.74	2500	0	35.5
5:27:21 PM 2:44:45 PM	38.69	2209	0	43.8	38.86	2502	0	34.5
5:31:22 PM 2:44:47 PM	38.81	2211	0	42.7	38.85	2503	0	34.5
5:35:23 PM 2:44:49 PM	38.8	2210	0	42.8	38.72	2500	0	35.6
5:39:24 PM 2:44:51 PM	38.78	2214	0	43	38.85	2506	0	34.5
5:43:25 PM 2:44:53 PM	39.03	2220	0	40.7	38.9	2504	0	34
5:47:26 PM 2:44:55 PM	38.97	2211	0	41.2	38.89	2508	0	34.2
5:51:27 PM 2:44:57 PM	38.85	2214	0	42.3	39.07	2504	0	32.6
5:55:28 PM 2:44:59 PM	38.99	2215	0	41	38.94	2509	0	33.8
5:59:28 PM 2:45:01 PM	39.17	2221	0	39.4	39.05	2507	0	32.8
6:03:30 PM 2:45:03 PM	39.04	2223	0	40.5	38.91	2507	0	34
6:07:30 PM 2:45:05 PM	39.17	2218	0	39.4	38.98	2503	0	33.4
6:11:31 PM 2:45:07 PM	39.11	2224	0	39.9	38.85	2502	0	34.5
6:15:32 PM 2:45:09 PM	39.04	2213	0	40.5	38.96	2508	0	33.5
6:19:33 PM 2:45:11 PM	39.03	2216	0	40.6	39	2509	0	33.2
6:23:34 PM 2:45:13 PM	38.98	2215	0	41.1	39	2503	0	33.2
6:27:35 PM 2:45:15 PM	39.02	2215	0	40.7	38.83	2502	0	34.7
6:31:36 PM 2:45:17 PM	39	2218	0	40.9	38.95	2506	0	33.6
6:35:37 PM 2:45:19 PM	39.01	2218	0	40.8	39.05	2500	0	32.7
6:39:38 PM 2:45:21 PM	39.15	2212	0	39.6	38.97	2504	0	33.5
6:43:39 PM 2:45:23 PM	39.15	2215	0	39.5	39.09	2499	0	32.4
6:47:40 PM 2:45:25 PM	39.22	2215	0	38.9	39.23	2504	0	31.2
6:51:41 PM 2:45:27 PM	39	2211	0	40.9	39.14	2498	0	32
6:55:42 PM 2:45:29 PM	39.24	2214	0	38.7	39.16	2501	0	31.9
6:59:43 PM 2:45:31 PM	39.15	2214	0	39.5	39.17	2507	0	31.7
7:03:43 PM 2:45:33 PM	39.2	2218	0	39.1	39.13	2506	0	32.1
7:07:45 PM 2:45:35 PM	39.28	2207	0	38.3	39.12	2500	0	32.2
7:11:45 PM 2:45:37 PM	39.01	2214	0	40.8	39.14	2506	0	32
7:15:46 PM 2:45:39 PM	39.12	2207	0	39.8	39.23	2505	0	31.2
7:19:47 PM 2:45:41 PM	39.09	2205	0	40.1	39.28	2504	0	30.8
7:23:48 PM 2:45:43 PM	39.26	2217	0	38.6	39.26	2502	0	31
7:27:49 PM 2:45:45 PM	39.21	2205	0	39	39.27	2501	0	30.9
7:31:50 PM 2:45:47 PM	39.19	2212	0	39.2	39.31	2502	0	30.5
7:35:51 PM 2:45:49 PM	39.4	2210	0	37.3	39.31	2494	0	30.5
7:39:52 PM 2:45:51 PM	39.18	2209	0	39.3	39.42	2497	0	29.6
7:43:53 PM 2:45:53 PM	39.28	2199	0	38.3	39.28	2498	0	30.8
7:47:54 PM 2:45:55 PM	39.11	2204	0	39.9	39.41	2497	0	29.7
7:51:55 PM 2:45:57 PM	39.24	2204	0	38.7	39.32	2497	0	30.5
7:55:56 PM 2:45:59 PM	39.31	2207	0	38.1	39.34	2500	0	30.3
7:59:57 PM 2:46:01 PM	39.43	2206	0	37	39.47	2495	0	29.2
8:03:58 PM 2:46:03 PM	39.38	2207	0	37.5	39.27	2498	0	30.9
8:07:58 PM 2:46:05 PM	39.29	2211	0	38.2	39.37	2504	0	30
8:12:00 PM 2:46:07 PM	39.38	2213	0	37.4	39.43	2501	0	29.5
8:16:00 PM 2:46:09 PM	39.3	2211	0	38.2	39.41	2501	0	29.7
8:20:01 PM 2:46:11 PM	39.45	2214	0	36.8	39.47	2510	0	29.2
8:24:02 PM 2:46:13 PM	39.45	2222	0	36.8	39.58	2509	0	28.3
8:28:03 PM 2:46:15 PM	39.45	2218	0	36.8	39.53	2513	0	28.7
8:32:04 PM 2:46:17 PM	39.46	2222	0	36.7	39.52	2516	0	28.8
8:36:05 PM 2:46:19 PM	39.57	2226	0	35.7	39.61	2513	0	28.1
8:40:06 PM 2:46:21 PM	39.63	2229	0	35.2	39.45	2518	0	29.3
8:44:07 PM 2:46:23 PM	39.77	2233	0	34	39.54	2514	0	28.6
8:48:08 PM 2:46:25 PM	39.61	2231	0	35.4	39.58	2518	0	28.3
8:52:09 PM 2:46:27 PM	39.55	2228	0	35.9	39.62	2514	0	27.9
8:56:10 PM 2:46:29 PM	39.46	2224	0	36.7	39.57	2512	0	28.3
9:00:11 PM 2:46:31 PM	39.86	2233	0	33.2	39.6	2514	0	28.1
9:04:12 PM 2:46:33 PM	39.81	2236	0	33.6	39.6	2506	0	28.1
9:08:13 PM 2:46:35 PM	39.82	2233	0	33.5	39.5	2506	0	28.9
9:12:13 PM 2:46:37 PM	39.98	2231	0	32.1	39.71	2509	0	27.2
9:16:15 PM 2:46:39 PM	39.99	2228	0	32	39.85	2505	0	26
9:20:15 PM 2:46:41 PM	39.79	2218	0	33.8	39.64	2510	0	27.7
9:24:16 PM 2:46:43 PM	39.89	2228	0	32.9	39.64	2503	0	27.7
9:28:17 PM 2:46:45 PM	39.91	2228	0	32.7	39.69	2512	0	27.3
9:32:18 PM 2:46:47 PM	39.97	2232	0	32.3	39.83	2514	0	26.1
9:36:19 PM 2:46:49 PM	39.67	2223	0	34.8	39.9	2512	0	25.6
9:40:20 PM 2:46:51 PM	39.81	2230	0	33.6	39.66	2510	0	27.6
9:44:21 PM 2:46:53 PM	39.99	2229	0	32.1	39.85	2511	0	26
9:48:22 PM 2:46:55 PM	39.95	2234	0	32.4	39.84	2511	0	26.1
9:52:23 PM 2:46:57 PM	39.98	2233	0	32.1	39.97	2515	0	25
9:56:24 PM 2:46:59 PM	39.97	2234	0	32.3	40.04	2517	0	24.5
10:00:25 PM 2:47:01 PM	39.96	2227	0	32.3	39.97	2512	0	25
10:04:26 PM 2:47:03 PM	39.84	2223	0	33.4	40.08	2510	0	24.1
10:08:27 PM 2:47:05 PM	39.94	2223	0	32.5	40.01	2517	0	24.7
10:12:28 PM 2:47:07 PM	40.16	2230	0	30.6	40.06	2513	0	24.3
10:16:29 PM 2:47:09 PM	40.15	2233	0	30.7	40.04	2516	0	24.5
10:20:30 PM 2:47:11 PM	39.98	2229	0	32.1	39.96	2515	0	25.1
10:24:30 PM 2:47:13 PM	40.04	2230	0	31.7	39.96	2511	0	25.1
10:28:31 PM 2:47:15 PM	40.06	2228	0	31.4	40.03	2515	0	24.5
10:32:32 PM 2:47:17 PM	40.01	2229	0	31.9	39.93	2512	0	25.3
10:36:33 PM 2:47:19 PM	39.78	2225	0	33.9	40.05	2514	0	24.4
10:40:34 PM 2:47:21 PM	39.6	2216	0	35.5	40.1	2508	0	24
10:44:35 PM 2:47:23 PM	39.89	2218	0	32.9	40	2514	0	24.8
10:48:36 PM 2:47:25 PM	40.04	2228	0	31.7	40.06	2515	0	24.3
10:52:37 PM 2:47:27 PM	40.05	2232	0	31.6	40.16	2521	0	23.5
10:56:38 PM 2:47:29 PM	40.26	2227	0	29.7	40.07	2516	0	24.2
11:00:39 PM 2:47:31 PM	40.11	2230	0	31	40.27	2523	0	22.6
11:04:40 PM 2:47:33 PM	40.19	2233	0	30.3	40.14	2527	0	23.6
11:08:41 PM 2:47:35 PM	39.96	2234	0	32.3	40.19	2531	0	23.2
11:12:42 PM 2:47:37 PM	40.11	2230	0	31	40.18	2530	0	23.3
11:16:43 PM 2:47:39 PM	40.18	2234	0	30.4	40.19	2527	0	23.2
11:20:43 PM 2:47:41 PM	40.23	2234	0	30	40.34	2532	0	22
11:24:45 PM 2:47:43 PM	40.03	2233	0	31.7	40.34	2530	0	22.1
11:28:45 PM 2:47:45 PM	40.29	2236	0	29.5	40.28	2530	0	22.5
11:32:46 PM 2:47:47 PM	40.08	2234	0	31.3	40.41	2533	0	21.4
11:36:47 PM 2:47:49 PM	40.19	2232	0	30.3	40.38	2529	0	21.7
11:40:49 PM 2:47:51 PM	40.15	2230	0	30.7	40.38	2531	0	21.7
11:44:49 PM 2:47:53 PM	40.18	2235	0	30.4	40.33	2524	0	22.1
11:48:50 PM 2:47:55 PM	40.09	2235	0	31.2	40.39	2529	0	21.6
11:52:51 PM 2:47:57 PM	40.04	2232	0	31.6	40.44	2530	0	21.2
11:56:52 PM 2:47:59 PM	40.09	2227	0	31.2	40.48	2530	0	20.9
12:00:53 AM 2:48:01 PM	40.12	2231	0	30.9	40.53	2533	0	20.5
12:04:54 AM 2:48:03 PM	40.12	2227	0	30.9	40.48	2530	0	20.9
12:08:55 AM 2:48:05 PM	40.19	2235	0	30.3	40.63	2529	0	19.7
12:12:56 AM 2:48:07 PM	40.14	2228	0	30.7	40.46	2532	0	21.1
12:16:57 AM 2:48:09 PM	40.29	2237	0	29.5	40.55	2533	0	20.3
12:20:58 AM 2:48:11 PM	40.27	2231	0	29.6	40.59	2531	0	20
12:24:59 AM 2:48:13 PM	40.38	2232	0	28.7	40.58	2525	0	20.1
12:29:00 AM 2:48:15 PM	40.37	2233	0	28.8	40.59	2533	0	20.1
12:33:00 AM 2:48:17 PM	40.29	2233	0	29.5	40.69	2525	0	19.3
12:37:01 AM 2:48:19 PM	40.47	2232	0	27.9	40.64	2532	0	19.7
12:41:02 AM 2:48:21 PM	40.38	2234	0	28.7	40.62	2532	0	19.8
12:45:04 AM 2:48:23 PM	40.34	2238	0	29	40.6	2528	0	19.9
12:49:04 AM 2:48:25 PM	40.44	2240	0	28.2	40.7	2533	0	19.1
12:53:05 AM 2:48:27 PM	40.54	2241	0	27.3	40.66	2533	0	19.5
12:57:06 AM 2:48:29 PM	40.49	2241	0	27.8	40.73	2537	0	18.9
1:01:07 AM 2:48:31 PM	40.49	2239	0	27.8	40.72	2534	0	19
1:05:08 AM 2:48:33 PM	40.42	2241	0	28.3	40.81	2533	0	18.3
1:09:09 AM 2:48:35 PM	40.4	2242	0	28.5	40.78	2535	0	18.5
1:13:10 AM 2:48:37 PM	40.52	2244	0	27.5	40.71	2539	0	19.1
1:17:11 AM 2:48:39 PM	40.58	2248	0	27	40.74	2542	0	18.8
1:21:12 AM 2:48:41 PM	40.49	2245	0	27.8	40.75	2540	0	18.8
1:25:13 AM 2:48:43 PM	40.5	2246	0	27.6	40.8	2543	0	18.4
1:29:14 AM 2:48:45 PM	40.52	2243	0	27.5	40.76	2544	0	18.7
1:33:15 AM 2:48:47 PM	40.57	2248	0	27.1	40.91	2544	0	17.5
1:37:16 AM 2:48:49 PM	40.52	2249	0	27.5	40.88	2547	0	17.8
1:41:16 AM 2:48:51 PM	40.62	2247	0	26.6	40.9	2545	0	17.6
1:45:17 AM 2:48:53 PM	40.69	2254	0	26	40.79	2548	0	18.5
1:49:19 AM 2:48:55 PM	40.75	2250	0	25.6	40.82	2547	0	18.2
1:53:19 AM 2:48:57 PM	40.6	2255	0	26.8	41.07	2552	0	16.3
1:57:20 AM 2:48:59 PM	40.72	2249	0	25.8	41.08	2554	0	16.2
2:01:21 AM 2:49:01 PM	40.62	2245	0	26.7	40.9	2556	0	17.6
2:05:22 AM 2:49:03 PM	40.76	2256	0	25.5	41.02	2552	0	16.7
2:09:23 AM 2:49:05 PM	40.69	2256	0	26.1	41.03	2551	0	16.6
2:13:24 AM 2:49:07 PM	40.8	2255	0	25.1	41.35	2549	0	14.1
2:17:25 AM 2:49:09 PM	40.63	2256	0	26.5	41	2552	0	16.8
2:21:26 AM 2:49:11 PM	40.71	2255	0	25.9	41.18	2553	0	15.4
2:25:27 AM 2:49:13 PM	40.73	2254	0	25.8	41.15	2556	0	15.6
2:29:28 AM 2:49:15 PM	40.68	2251	0	26.2	41.07	2556	0	16.3
2:33:29 AM 2:49:17 PM	40.6	2252	0	26.8	40.95	2560	0	17.2
2:37:30 AM 2:49:19 PM	40.92	2260	0	24.1	41.2	2559	0	15.3
2:41:31 AM 2:49:21 PM	40.9	2254	0	24.3	41.08	2563	0	16.2
2:45:32 AM 2:49:23 PM	40.81	2262	0	25.1	41.24	2564	0	14.9
2:49:32 AM 2:49:25 PM	40.93	2260	0	24.1	41.19	2563	0	15.3
2:53:34 AM 2:49:27 PM	40.8	2258	0	25.1	41.2	2559	0	15.3
2:57:34 AM 2:49:29 PM	41.03	2267	0	23.2	41.25	2563	0	14.9
3:01:35 AM 2:49:31 PM	40.91	2265	0	24.3	41.11	2563	0	15.9
3:05:36 AM 2:49:33 PM	41.07	2267	0	23	41.24	2564	0	15
3:09:37 AM 2:49:35 PM	41.21	2266	0	21.8	41.27	2567	0	14.7
3:13:38 AM 2:49:37 PM	40.99	2267	0	23.6	41.3	2565	0	14.5
3:17:39 AM 2:49:39 PM	40.96	2272	0	23.8	41.14	2567	0	15.7
3:21:40 AM 2:49:41 PM	41.21	2272	0	21.8	41.33	2574	0	14.3
3:25:41 AM 2:49:43 PM	40.83	2266	0	24.9	41.4	2573	0	13.7
3:29:42 AM 2:49:45 PM	41.18	2273	0	22.1	41.41	2573	0	13.7
3:33:43 AM 2:49:47 PM	41.13	2272	0	22.4	41.36	2568	0	14.1
3:37:44 AM 2:49:49 PM	41.13	2276	0	22.4	41.32	2571	0	14.4
3:41:45 AM 2:49:51 PM	41.18	2269	0	22.1	41.35	2575	0	14.1
